product_id,product_name,piecepercase,category,price,quantity,unit,transformed_values
1336,MIRINDA ORANGE,12,PET,65,1.5,L,MIRINDA ORANGE
3584,MIRINDA ORANGE,24,CAN,20,150,ml,MIRINDA ORANGE
2209,MIRINDA ORANGE,12,PET,35,1,L,MIRINDA ORANGE
2533,MIRINDA ORANGE,9,PET,70,2.25,L,MIRINDA ORANGE
3979,Mirinda orange,9,PET,85,2.25,L,Mirinda orange
1006,MIRINDA ORANGE,24,RGP,10,200,ml,MIRINDA ORANGE
1423,MIRINDA ORANGE,24,CAN,20,250,ml,MIRINDA ORANGE
1465,MIRINDA ORANGE,24,PET,15,250,ml,MIRINDA ORANGE
2701,MIRINDA ORANGE,9,PET,65,2,L,MIRINDA ORANGE
1232,MIRINDA ORANGE,24,RGP,14,300,ml,MIRINDA ORANGE
1941,MIRINDA ORANGE,30,PET,20,300,ml,MIRINDA ORANGE
4256,MIRINDA ORANGE,24,CAN,30,300,ml,MIRINDA ORANGE
1697,MIRINDA ORANGE,24,CAN,60,330,ml,MIRINDA ORANGE
1908,MIRINDA ORANGE,24,PET,20,330,ml,MIRINDA ORANGE
3121,MIRINDA ORANGE,24,PET,20,400,ml,MIRINDA ORANGE
4171,MIRINDA ORANGE,24,PET,60,475,ml,MIRINDA ORANGE
1870,MIRINDA ORANGE,24,PET,60,500,ml,MIRINDA ORANGE
1889,MIRINDA ORANGE,30,PET,30,600,ml,MIRINDA ORANGE
3115,MIRINDA ORANGE,24,PET,38,750,ml,MIRINDA ORANGE
1386,MOUNTAIN DEW,12,PET,65,1.25,L,MOUNTAIN DEW
1337,MOUNTAIN DEW,12,PET,65,1.5,L,MOUNTAIN DEW
3583,MOUNTAIN DEW,24,CAN,20,150,ml,MOUNTAIN DEW
2212,MOUNTAIN DEW,12,PET,35,1,L,MOUNTAIN DEW
1397,MOUNTAIN DEW,9,PET,99,2.25,L,MOUNTAIN DEW
1009,MOUNTAIN DEW,24,RGP,10,200,ml,MOUNTAIN DEW
1424,MOUNTAIN DEW,24,CAN,20,250,ml,MOUNTAIN DEW
1467,MOUNTAIN DEW,24,PET,15,250,ml,MOUNTAIN DEW
2700,MOUNTAIN DEW,9,PET,65,2,L,MOUNTAIN DEW
1115,MOUNTAIN DEW,24,RGP,25,300,ml,MOUNTAIN DEW
1942,MOUNTAIN DEW,30,PET,20,300,ml,MOUNTAIN DEW
4254,MOUNTAIN DEW,24,CAN,30,300,ml,MOUNTAIN DEW
1698,MOUNTAIN DEW,24,CAN,60,330,ml,MOUNTAIN DEW
1910,MOUNTAIN DEW,24,PET,20,330,ml,MOUNTAIN DEW
3122,MOUNTAIN DEW,24,PET,20,400,ml,MOUNTAIN DEW
1880,MOUNTAIN DEW,24,PET,60,500,ml,MOUNTAIN DEW
2024,MOUNTAIN DEW,24,PET,30,600,ml,MOUNTAIN DEW
3116,MOUNTAIN DEW,24,PET,38,750,ml,MOUNTAIN DEW
4367,MOUNTAIN DEW ICE,15,PET,50,1.25,L,MOUNTAIN DEW ICE
4248,MOUNTAIN DEW ICE,9,PET,90,2.25,L,MOUNTAIN DEW ICE
1898,MOUNTAIN DEW ICE,30,PET,20,250,ml,MOUNTAIN DEW ICE
4241,MOUNTAIN DEW ICE,24,PET,30,600,ml,MOUNTAIN DEW ICE
1085,NIMBOOZ MASALA SODA,24,RGP,10,200,ml,NIMBOOZ MASALA SODA
4977,NIMBOOZ MASALA SODA,24,PET,20,250,ml,NIMBOOZ MASALA SODA
1943,NIMBOOZ MASALA SODA,30,PET,20,300,ml,NIMBOOZ MASALA SODA
4105,NIMBOOZ MASALA SODA,24,PET,20,330,ml,NIMBOOZ MASALA SODA
2392,NIMBOOZ MASALA SODA,24,PET,32,500,ml,NIMBOOZ MASALA SODA
2325,NIMBOOZ MASALA SODA,24,PET,30,600,ml,NIMBOOZ MASALA SODA
2294,PEPSI,12,PET,52,1.25,L,PEPSI
4991,PEPSI,6,CAN,99,250,ml,PEPSI
1944,PEPSI,30,PET,20,300,ml,PEPSI
4781,PEPSI BLACK,12,PET,50,1.5,L,PEPSI BLACK
4786,PEPSI BLACK,30,CAN,30,180,ml,PEPSI BLACK
1978,PEPSI BLACK,24,PET,20,250,ml,PEPSI BLACK
3537,PEPSI BLACK,24,CAN,25,250,ml,PEPSI BLACK
4738,PEPSI BLACK,24,CAN,60,300,ml,PEPSI BLACK
7142,PEPSI BLACK,24,CAN,60,330,ml,PEPSI BLACK
1994,PEPSI BLACK,24,PET,20,500,ml,PEPSI BLACK
4782,PEPSI BLACK,24,PET,30,600,ml,PEPSI BLACK
1380,PEPSI COLA,12,PET,65,1.25,L,PEPSI COLA
1335,PEPSI COLA,12,PET,65,1.5,L,PEPSI COLA
3582,PEPSI COLA,24,CAN,20,150,ml,PEPSI COLA
2210,PEPSI COLA,12,PET,35,1,L,PEPSI COLA
1398,PEPSI COLA,9,PET,99,2.25,L,PEPSI COLA
1000,PEPSI COLA,24,RGP,8,200,ml,PEPSI COLA
1425,PEPSI COLA,24,CAN,20,250,ml,PEPSI COLA
1464,PEPSI COLA,24,PET,15,250,ml,PEPSI COLA
1549,PEPSI COLA,30,PET,49,295,ml,PEPSI COLA
2498,PEPSI COLA,9,PET,65,2,L,PEPSI COLA
1113,PEPSI COLA,24,RGP,25,300,ml,PEPSI COLA
4253,PEPSI COLA,24,CAN,30,300,ml,PEPSI COLA
1699,PEPSI COLA,24,CAN,60,330,ml,PEPSI COLA
1911,PEPSI COLA,24,PET,20,330,ml,PEPSI COLA
3119,PEPSI COLA,24,PET,20,400,ml,PEPSI COLA
4168,PEPSI COLA,24,PET,60,475,ml,PEPSI COLA
1871,PEPSI COLA,24,PET,60,500,ml,PEPSI COLA
1888,PEPSI COLA,30,PET,30,600,ml,PEPSI COLA
3113,PEPSI COLA,24,PET,38,750,ml,PEPSI COLA
3224,SLICE MANGO,12,PET,55,1.2,L,SLICE MANGO
3376,SLICE MANGO,9,PET,85,1.75,L,SLICE MANGO
3581,SLICE MANGO,40,TETRA,10,125,ml,SLICE MANGO
3218,SLICE MANGO,24,TETRA,12,200,ml,SLICE MANGO
3240,SLICE MANGO,24,RGP,10,200,ml,SLICE MANGO
3283,SLICE MANGO,24,RGP,14,250,ml,SLICE MANGO
3268,SLICE MANGO,24,PET,20,350,ml,SLICE MANGO
3213,SLICE MANGO,24,PET,25,500,ml,SLICE MANGO
3293,SLICE MANGO,24,PET,32,600,ml,SLICE MANGO
4149,STING,24,RGP,15,200,ml,STING
1886,STING,24,CAN,35,250,ml,STING
1922,STING,24,PET,30,250,ml,STING
4044,STING,24,PET,30,500,ml,STING
4785,STING BLUE,30,PET,20,250,ml,STING BLUE
2618,TEEM SODA,24,RGP,4.5,300,ml,TEEM SODA
1912,TEEM SODA,24,PET,10,330,ml,TEEM SODA
3354,TROP MIX FRUIT PET,24,PET,40,500,ml,TROPICANA MIX FRUIT
8400,TROP PG APPLE,12,TETRA,120,1,L,TROPICANA APPLE
3619,TROP PG APPLE,30,TETRA,20,200,ml,TROPICANA APPLE
8473,TROP PG APPLE,24,PET,30,200,ml,TROPICANA APPLE
8406,TROP PG GRAPE,12,TETRA,120,1,L,TROPICANA GRAPE
8407,TROP PG MIXED FRUIT,12,TETRA,120,1,L,TROPICANA MIX FRUIT
3615,TROP PG MIXED FRUIT,30,TETRA,20,200,ml,TROPICANA MIX FRUIT
8472,TROP PG MIXED FRUIT,24,PET,30,200,ml,TROPICANA MIX FRUIT
8409,TROP PG ORANGE,12,TETRA,120,1,L,TROPICANA ORANGE
3621,TROP PG ORANGE,30,TETRA,20,200,ml,TROPICANA ORANGE
8474,TROP PG ORANGE,24,PET,30,200,ml,TROPICANA ORANGE
8308,TROP PR APPLE DELGT,24,PET,40,500,ml,TROPICANA APPLE
8319,TROP PR APPLE DELIGHT,30,PET,20,180,ml,TROPICANA APPLE
8493,TROP PR APPLE DELIGHT,12,PET,80,1,L,TROPICANA APPLE
3684,TROP PR APPLE DELIGHT,24,PET,20,200,ml,TROPICANA APPLE
8498,TROP PR APPLE DELIGT,24,PET,20,250,ml,TROPICANA APPLE
3692,TROP PR APPLE DELIGT,24,PET,40,500,ml,TROPICANA APPLE
8479,TROP PR APPLEDELIGHT,12,PET,100,1,L,TROPICANA APPLE
8323,TROP PR CRANBERRY TWIR,12,TETRA,135,1,L,TROPICANA CRANBERRY
8419,TROP PR CRANBERRY TWIRL,12,TETRA,110,1,L,TROPICANA CRANBERRY
8419,TROP PR CRANBERRY TWIRL,12,TETRA,110,1,L,TROPICANA CRANBERRY
8411,TROP PR GUAVA,12,TETRA,99,1,L,TROPICANA GUAVA
3655,TROP PR GUAVA,30,TETRA,20,200,ml,TROPICANA GUAVA
8480,TROP PR GUAVA DEL,12,PET,100,1000,ml,TROPICANA GUAVA
8307,TROP PR GUAVA DELGT,24,PET,40,500,ml,TROPICANA GUAVA
8468,TROP PR GUAVA DELIGHT,12,PET,99,1000,ml,TROPICANA GUAVA
8321,TROP PR GUAVA DELIGHT,30,PET,20,180,ml,TROPICANA GUAVA
3681,TROP PR GUAVA DELIGHT,24,PET,20,200,ml,TROPICANA GUAVA
3688,TROP PR GUAVA DELIGHT,24,PET,40,500,ml,TROPICANA GUAVA
3691,TROP PR GUAVA DELIGT,24,PET,40,500,ml,TROPICANA GUAVA
8500,TROP PR GUAVA DELIHT,24,PET,20,250,ml,TROPICANA GUAVA
8519,TROP PR JUICY APPLE,40,TETRA,10,125,ml,TROPICANA APPLE
4138,TROP PR JUICY APPLE,30,TETRA,20,180,ml,TROPICANA APPLE
8412,TROP PR JUICY APPLE,12,TETRA,99,1,L,TROPICANA APPLE
3661,TROP PR JUICY APPLE,30,TETRA,20,200,ml,TROPICANA APPLE
8433,TROP PR JUICY ORANGE,12,TETRA,99,1,L,TROPICANA ORANGE
3656,TROP PR JUICY ORANGE,30,TETRA,20,200,ml,TROPICANA ORANGE
8310,TROP PR LICHI DELIT,24,PET,40,500,ml,TROPICANA LYCHEE
8320,TROP PR LITCHI DELIGHT,30,PET,20,180,ml,TROPICANA LYCHEE
3698,TROP PR LITCHI DELIGHT,30,PET,20,200,ml,TROPICANA LYCHEE
3687,TROP PR LITCHI DELIGHT,24,PET,40,500,ml,TROPICANA LYCHEE
4145,TROP PR LITCHI DLGHT,30,TETRA,20,180,ml,TROPICANA LYCHEE
4267,TROP PR LTCHI DELGHT,30,PET,20,250,ml,TROPICANA LYCHEE
8300,TROP PR LY TRL,30,TETRA,20,200,ml,TROPICANA LYCHEE
8551,TROP PR LYCHEE DEL,30,PET,15,250,ml,TROPICANA LYCHEE
8414,TROP PR LYCHEE TWIRL,12,TETRA,99,1,L,TROPICANA LYCHEE
3652,TROP PR LYCHEE TWIRL,30,TETRA,20,200,ml,TROPICANA LYCHEE
8415,TROP PR MANGO,12,TETRA,99,1,L,TROPICANA ORANGE
3673,TROP PR MANGO,30,TETRA,20,200,ml,TROPICANA MANGO
4155,TROP PR MANGO DLGHT,30,TETRA,20,180,ml,TROPICANA MANGO
8322,TROP PR MIX FRUIT DEL,30,PET,20,180,ml,TROPICANA MIX FRUIT
3699,TROP PR MIX FRUIT DEL,30,PET,20,200,ml,TROPICANA MIX FRUIT
3686,TROP PR MIX FRUIT DEL,24,PET,40,500,ml,TROPICANA MIX FRUIT
3685,TROP PR MIX FRUIT DELIGHT,24,PET,20,200,ml,TROPICANA MIX FRUIT
8499,TROP PR MIX FRUT DEL,24,PET,20,250,ml,TROPICANA MIX FRUIT
4137,TROP PR MIXED,30,TETRA,20,180,ml,TROPICANA APPLE
3653,TROP PR MIXED,30,TETRA,20,200,ml,TROPICANA APPLE
8416,TROP PR MIXED FRUIT,12,TETRA,99,1,L,TROPICANA MIX FRUIT
8442,TROP PR MIXED FRUIT,30,TETRA,20,200,ml,TROPICANA MIX FRUIT
8483,TROP PR MIXFRUIT DEL,12,PET,100,1000,ml,TROPICANA MIX FRUIT
8478,TROP PR ORANGE DEL,12,PET,110,1,L,TROPICANA ORANGE
8491,TROP PR ORANGE DELIGH,12,PET,80,1000,ml,TROPICANA ORANGE
8317,TROP PR ORANGE DELIGHT,30,PET,20,180,ml,TROPICANA ORANGE
3680,TROP PR ORANGE DELIGHT,24,PET,20,200,ml,TROPICANA ORANGE
4153,TROP PR ORANGE DLGHT,30,TETRA,20,180,ml,TROPICANA ORANGE
8492,TROP PR POMEG DEL,12,PET,80,1000,ml,TROPICANA POMEGRANATE
4151,TROP PR POMEG DLGHT,30,TETRA,20,180,ml,TROPICANA POMEGRANATE
8316,TROP PR POMEGRANAT DEL,30,PET,20,200,ml,TROPICANA POMEGRANATE
8421,TROP PR POMEGRANATE,12,TETRA,110,1,L,TROPICANA POMEGRANATE
3651,TROP PR POMEGRANATE,30,TETRA,20,200,ml,TROPICANA POMEGRANATE
8318,TROP PR POMEGRANATE DEL,30,PET,20,180,ml,TROPICANA POMEGRANATE
8502,TROP PR POMEGRANATE DEL,30,PET,20,200,ml,TROPICANA POMEGRANATE
3689,TROP PR POMEGRANATE DEL,24,PET,40,500,ml,TROPICANA POMEGRANATE
3683,TROP PR POMEGRANATE DELIGHT,24,PET,20,200,ml,TROPICANA POMEGRANATE
4268,TROP PR POMGRNAT DEL,30,PET,20,250,ml,TROPICANA POMEGRANATE
3382,TROP SLICE MIXFRUITJUICE,24,PET,35,500,ml,TROPICANA MIX FRUIT
3682,TROPPR LITCHI DELIGHT,24,PET,20,200,ml,TROPICANA LYCHEE
